Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
crisby,20591,54.4,22400,0.92,71.5,3.4,1208,31517,0.65,0.13,0.71,0.11,0.10,67.7,0.98,0.93
quix,16096,47.3,17803,0.90,75.0,5.4,905,24005,0.67,0.14,0.74,0.09,0.08,66.1,1.03,0.93
mynio,12785,44.8,13995,0.91,77.2,6.8,736,19735,0.65,0.16,0.71,0.09,0.08,67.2,1.05,0.93
TACO,21224,50.2,22442,0.95,67.6,4.3,1338,34804,0.61,0.12,0.64,0.08,0.07,69.5,0.90,0.93
SkulL,9545,42.6,10585,0.90,75.7,5.5,558,14533,0.66,0.15,0.73,0.11,0.10,67.1,1.08,1.01
kiR,8264,62.1,9118,0.91,71.8,4.4,477,12806,0.65,0.12,0.71,0.09,0.10,66.5,1.00,0.97
arki,13228,52.6,14314,0.92,70.9,5.5,807,21185,0.62,0.15,0.68,0.10,0.08,69.2,0.94,0.92
S0tF1k,21364,49.2,23267,0.92,71.5,5.4,1289,33952,0.63,0.14,0.69,0.10,0.09,68.6,0.96,0.92
hitMouse,8785,49.0,9410,0.93,71.2,4.5,538,14028,0.63,0.13,0.67,0.09,0.09,68.9,0.91,0.92
aVN,8416,53.0,9082,0.93,69.4,2.7,499,13259,0.63,0.12,0.68,0.11,0.11,69.2,0.91,0.92
Xp3,8326,39.7,9118,0.91,70.5,3.4,502,13113,0.63,0.13,0.70,0.09,0.08,67.3,0.97,0.92
ncl,8091,49.2,8677,0.93,69.3,3.8,505,12970,0.62,0.14,0.67,0.11,0.09,69.2,0.90,0.92
pNshr,9802,43.2,10611,0.92,71.1,3.1,595,15532,0.63,0.15,0.68,0.10,0.09,69.8,0.91,0.92
MSL,28897,39.9,32141,0.90,70.8,3.8,1715,44808,0.64,0.15,0.72,0.11,0.08,67.1,1.05,0.92
Dav,6877,41.4,7571,0.91,71.9,4.6,423,10932,0.63,0.15,0.69,0.11,0.11,69.0,0.96,0.92
SANJI,12151,62.2,13149,0.92,68.8,3.9,743,19879,0.61,0.12,0.66,0.10,0.08,68.8,0.90,0.97
Luz,10739,48.2,11696,0.92,72.8,3.2,647,16970,0.63,0.14,0.69,0.10,0.09,68.4,0.94,0.92
akez,7762,55.1,8614,0.90,71.3,3.4,452,12258,0.63,0.13,0.70,0.11,0.10,68.3,0.92,0.92
Zeus,23470,43.5,25460,0.92,69.9,5.5,1405,37152,0.63,0.17,0.69,0.11,0.08,68.5,0.88,0.92
nak,8158,44.5,8829,0.92,70.8,4.5,514,13305,0.61,0.15,0.66,0.10,0.09,69.8,0.88,0.92
arya,7277,34.9,8145,0.89,72.6,3.5,440,11291,0.64,0.14,0.72,0.11,0.09,66.2,1.05,0.92
BTN,17223,53.9,19125,0.90,73.3,5.3,1025,26833,0.64,0.15,0.71,0.11,0.09,68.0,0.96,0.92
karrigan,31692,42.8,35062,0.90,68.7,5.0,1936,50677,0.63,0.13,0.69,0.09,0.07,66.8,0.91,0.91
pietola,6256,47.1,6848,0.91,69.4,5.0,383,10178,0.61,0.13,0.67,0.09,0.10,68.8,0.89,0.91
xartE,18341,37.1,19976,0.92,69.8,6.3,1151,30254,0.61,0.15,0.66,0.09,0.09,69.0,0.89,0.91
tecek,6383,38.1,7221,0.88,73.8,3.7,376,9987,0.64,0.16,0.72,0.11,0.08,67.6,1.03,0.91
svyat,11569,51.9,12622,0.92,69.6,4.7,710,19072,0.61,0.14,0.66,0.09,0.09,69.3,0.90,0.98
LEGIJA,14245,49.8,15916,0.90,69.5,4.6,869,22614,0.63,0.14,0.70,0.09,0.08,66.6,0.93,0.91
roman,6787,55.0,7451,0.91,69.6,3.0,414,10880,0.62,0.14,0.68,0.11,0.10,68.3,0.89,0.91
Shara,6329,51.8,7071,0.90,74.4,2.6,383,9929,0.64,0.14,0.71,0.08,0.07,66.3,0.98,0.91
wayLander,13258,51.8,14973,0.89,70.8,3.2,794,20857,0.64,0.13,0.72,0.08,0.07,65.3,0.95,0.91
BONA,7931,52.1,8874,0.89,69.9,4.5,476,12674,0.63,0.13,0.70,0.10,0.10,67.4,0.93,0.91
sAw,20522,47.9,22630,0.91,69.3,6.1,1267,33681,0.61,0.16,0.67,0.11,0.09,69.2,0.87,0.90
kRYSTAL,29058,36.6,32369,0.90,67.2,5.3,1833,47929,0.61,0.14,0.68,0.10,0.08,67.9,0.88,0.90
ben1337,13753,46.7,15362,0.90,69.6,4.9,856,22391,0.61,0.14,0.69,0.11,0.09,69.4,0.92,0.97
MiGHTYMAX,17328,49.2,19297,0.90,66.3,5.3,1110,29408,0.59,0.13,0.66,0.10,0.09,69.5,0.87,0.90
crush,11789,52.5,13256,0.89,69.8,4.9,729,19205,0.61,0.13,0.69,0.09,0.07,67.1,0.91,0.90
balblna,9791,49.8,11024,0.89,70.4,5.1,611,16017,0.61,0.15,0.69,0.11,0.10,68.6,0.89,0.90
