Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
ANDROID,15394,50.7,14358,1.07,75.7,3.0,835,21741,0.71,0.13,0.66,0.10,0.12,71.2,1.02,1.04
JUST,14654,55.5,13815,1.06,75.7,5.4,802,21108,0.69,0.13,0.65,0.10,0.11,71.9,1.04,1.04
LOVEYY,12939,52.0,12240,1.06,78.0,3.5,708,17977,0.72,0.15,0.68,0.11,0.11,70.7,1.11,1.04
land1n,13113,31.1,11917,1.10,69.8,2.3,744,19462,0.67,0.11,0.61,0.08,0.09,70.6,1.06,1.04
Davidp,14255,39.7,13246,1.08,77.9,7.6,774,20539,0.69,0.14,0.64,0.07,0.08,69.9,1.07,1.03
tb,11088,49.9,10380,1.07,76.7,3.5,619,15737,0.70,0.15,0.66,0.11,0.11,71.9,1.05,1.03
sjuush,13869,52.9,12962,1.07,75.9,3.8,762,20164,0.69,0.13,0.64,0.10,0.11,72.2,1.04,1.09
dEE,8169,33.5,7618,1.07,72.7,2.9,439,11583,0.71,0.10,0.66,0.09,0.10,69.9,1.07,1.07
tarik,26620,37.8,25304,1.05,76.8,2.9,1438,37326,0.71,0.14,0.68,0.11,0.10,70.8,1.11,1.03
DiMKE,10906,46.9,10378,1.05,79.5,4.2,584,15333,0.71,0.15,0.68,0.11,0.13,71.8,1.08,1.03
dobu,14026,54.5,13392,1.05,79.9,3.3,749,19603,0.72,0.15,0.68,0.10,0.10,71.1,1.14,1.03
max,9344,45.8,8756,1.07,78.8,4.0,503,13274,0.70,0.14,0.66,0.11,0.10,71.6,1.09,1.11
rAge,6850,31.8,6166,1.11,71.2,4.5,382,10184,0.67,0.10,0.61,0.07,0.09,70.3,1.03,1.07
USTILO,20186,46.1,19311,1.05,77.6,3.2,1108,28614,0.71,0.14,0.67,0.10,0.10,70.8,1.12,1.03
NK4Y,8697,62.1,8268,1.05,76.3,3.6,480,12325,0.71,0.14,0.67,0.10,0.11,70.8,1.03,1.07
Subroza,11748,48.4,11373,1.03,80.7,5.2,623,16275,0.72,0.15,0.70,0.09,0.09,69.3,1.19,1.10
JonY BoY,7530,34.8,7146,1.05,75.3,3.7,418,10732,0.70,0.11,0.67,0.08,0.09,68.4,1.16,1.03
FASHR,11774,49.3,11338,1.04,78.6,5.2,629,16560,0.71,0.15,0.68,0.11,0.12,71.4,1.13,1.10
cxzi,7426,37.6,7273,1.02,81.7,4.9,391,10124,0.73,0.14,0.72,0.10,0.08,68.8,1.19,1.10
juho,14492,45.7,14224,1.02,78.9,2.3,753,19812,0.73,0.14,0.72,0.10,0.09,68.3,1.19,1.03
captainMo,14852,40.1,14192,1.05,74.3,2.5,807,20783,0.71,0.12,0.68,0.10,0.10,70.1,1.10,1.03
yam,9755,34.6,9105,1.07,74.5,4.9,547,14003,0.70,0.13,0.65,0.09,0.09,70.1,1.15,1.03
alex,22611,45.7,21224,1.07,76.4,4.5,1228,32494,0.70,0.14,0.65,0.09,0.11,71.3,1.07,1.03
REZ,23871,49.5,22694,1.05,78.2,3.9,1291,34003,0.70,0.14,0.67,0.10,0.10,70.6,1.10,1.03
FaNg,11012,56.2,10448,1.05,77.0,4.0,593,15450,0.71,0.13,0.68,0.11,0.10,71.5,1.09,1.09
Relaxa,21399,30.1,19453,1.10,72.4,4.3,1198,31928,0.67,0.12,0.61,0.09,0.09,71.5,1.04,1.03
fleav,10431,40.7,10099,1.03,79.8,2.7,545,14342,0.73,0.13,0.70,0.09,0.10,68.9,1.11,1.08
znajder,19778,47.9,18708,1.06,76.8,4.3,1050,27577,0.72,0.15,0.68,0.10,0.10,69.9,1.05,1.03
DEV7L,9988,34.2,9406,1.06,72.4,2.7,549,14256,0.70,0.10,0.66,0.09,0.10,69.9,1.04,1.03
AiyvaN,12635,37.8,12043,1.05,74.2,3.2,694,18045,0.70,0.11,0.67,0.10,0.10,69.6,1.11,1.03
kressy,19929,48.0,18756,1.06,75.7,3.8,1077,28849,0.69,0.13,0.65,0.10,0.10,71.8,1.02,1.08
F1KU,10298,55.1,9954,1.03,77.8,5.0,542,14716,0.70,0.13,0.68,0.09,0.09,69.4,1.09,1.07
rain,28971,56.4,28129,1.03,80.0,3.5,1540,40722,0.71,0.15,0.69,0.10,0.09,69.9,1.16,1.03
phzy,7474,29.1,6917,1.08,71.5,2.4,412,11056,0.68,0.10,0.63,0.08,0.08,70.4,1.01,1.06
Patsi,8837,45.2,8566,1.03,78.6,3.7,466,12471,0.71,0.13,0.69,0.10,0.10,69.7,1.13,1.09
fl0m,11847,29.8,11222,1.06,74.2,3.5,640,16899,0.70,0.12,0.66,0.10,0.10,70.2,1.10,1.03
Patitek,7153,51.6,6975,1.03,80.0,3.2,377,9918,0.72,0.13,0.70,0.10,0.10,69.2,1.13,1.08
stfN,24410,46.5,23012,1.06,75.7,4.0,1324,35175,0.69,0.14,0.65,0.10,0.12,71.6,1.05,1.03
aizy,28791,50.4,27613,1.04,75.6,4.3,1563,41178,0.70,0.14,0.67,0.10,0.10,69.7,1.06,1.03
sLowi,20657,51.6,19768,1.04,76.5,4.7,1103,29639,0.70,0.14,0.67,0.09,0.09,69.0,1.12,1.03
shuadapai,9880,52.4,9388,1.05,76.0,3.5,549,14214,0.70,0.14,0.66,0.11,0.11,72.4,1.03,1.08
FrostMisty,6710,41.8,6299,1.07,79.0,2.8,376,9498,0.71,0.14,0.66,0.09,0.10,72.4,1.03,1.03
flamie,29184,54.4,27775,1.05,75.3,3.8,1581,41763,0.70,0.14,0.67,0.09,0.09,70.6,1.01,1.03
Maluk3,17462,29.3,16337,1.07,72.6,5.2,975,25269,0.69,0.11,0.65,0.09,0.09,69.9,1.09,1.08
RIKO,7573,52.7,7418,1.02,77.6,3.4,406,10568,0.72,0.13,0.70,0.10,0.11,69.6,1.07,1.06
dennis,29842,54.4,28702,1.04,76.5,4.0,1575,41834,0.71,0.12,0.69,0.09,0.10,69.3,1.06,1.03
food,8248,50.2,7868,1.05,77.2,3.9,456,11711,0.70,0.14,0.67,0.11,0.11,71.7,1.08,1.03
szejn,8993,51.7,8716,1.03,77.8,3.9,482,12887,0.70,0.13,0.68,0.09,0.09,69.7,1.07,1.07
TRAVIS,8608,54.6,8299,1.04,78.5,4.3,462,12328,0.70,0.14,0.67,0.10,0.08,71.0,1.13,1.10
pashaBiceps,29501,37.3,28482,1.04,72.5,4.2,1592,41228,0.72,0.13,0.69,0.08,0.08,66.8,1.06,1.02
niko,21970,49.5,20840,1.05,75.2,4.2,1201,31746,0.69,0.13,0.66,0.10,0.11,71.3,1.04,1.02
hoody,10871,49.6,10469,1.04,77.2,3.7,575,15453,0.70,0.13,0.68,0.09,0.10,69.7,1.09,1.07
CyberFocus,9080,29.7,8760,1.04,74.2,2.0,491,12779,0.71,0.11,0.69,0.08,0.08,68.3,1.16,1.02
kai,8814,35.3,8399,1.05,75.9,4.4,483,12692,0.69,0.14,0.66,0.09,0.11,71.5,1.01,1.07
JDC,7993,51.9,7686,1.04,76.9,2.9,434,11388,0.70,0.13,0.67,0.10,0.11,69.9,1.07,1.07
Krad,20250,48.9,19592,1.03,77.3,4.7,1095,29025,0.70,0.14,0.68,0.09,0.10,68.7,1.11,1.07
smiley,8418,28.7,7812,1.08,72.5,3.2,457,12351,0.68,0.10,0.63,0.08,0.09,69.5,1.08,1.07
kolor,10178,27.6,9863,1.03,73.5,2.1,549,14355,0.71,0.11,0.69,0.10,0.12,68.6,1.11,1.06
DeStiNy,18800,50.8,18305,1.03,78.7,3.2,1009,26187,0.72,0.14,0.70,0.11,0.10,70.5,1.18,1.02
AMANEK,18586,45.2,17373,1.07,74.7,4.6,1023,27484,0.68,0.13,0.63,0.09,0.09,71.7,1.01,1.02
Thomas,16405,41.7,15690,1.05,81.0,5.6,869,23076,0.71,0.17,0.68,0.11,0.11,72.8,1.10,1.11
Xyp9x,32723,41.7,30272,1.08,75.2,6.2,1897,49369,0.66,0.16,0.61,0.08,0.09,72.3,0.98,1.02
KENSI,8003,55.9,7467,1.07,73.3,4.7,438,11779,0.68,0.12,0.63,0.09,0.09,70.9,1.01,1.07
Forester,20667,53.9,19702,1.05,76.2,3.3,1127,29845,0.69,0.13,0.66,0.09,0.09,70.0,1.07,1.08
mouz,30506,50.1,28717,1.06,74.4,3.2,1666,44271,0.69,0.13,0.65,0.09,0.10,71.9,1.01,1.02
dragonfly,9094,25.1,8592,1.06,70.8,3.1,507,13234,0.69,0.09,0.65,0.09,0.08,67.6,1.13,1.06
NBK-,36942,53.7,35588,1.04,76.9,3.4,2038,53281,0.69,0.15,0.67,0.10,0.08,69.4,1.06,1.02
MoeycQ,11485,36.8,11047,1.04,75.3,5.1,629,16341,0.70,0.13,0.68,0.09,0.09,68.4,1.04,1.02
HS,20038,49.3,19637,1.02,78.5,4.9,1053,28179,0.71,0.15,0.70,0.10,0.11,69.5,1.09,1.02
Spargo,7096,33.0,6838,1.04,70.5,2.3,378,10224,0.69,0.09,0.67,0.09,0.09,68.2,1.10,1.05
jdm64,14626,23.6,13801,1.06,70.1,2.9,823,21321,0.69,0.10,0.65,0.10,0.09,68.8,1.05,1.02
glowiing,8731,55.5,8591,1.02,79.9,4.8,457,12181,0.72,0.13,0.71,0.10,0.10,69.0,1.15,1.08
Spongey,12738,50.8,11748,1.08,71.5,4.4,740,19173,0.66,0.12,0.61,0.10,0.12,72.7,0.94,1.06
RCF,11412,44.0,10969,1.04,74.9,2.9,616,16135,0.71,0.11,0.68,0.10,0.10,69.8,1.15,1.08
bondik,26353,47.7,24897,1.06,74.6,5.3,1454,38215,0.69,0.13,0.65,0.09,0.10,71.3,0.97,1.02
MonttY,9507,46.6,9169,1.04,77.3,1.9,522,13451,0.71,0.14,0.68,0.11,0.11,72.1,1.07,1.02
NENO,11619,42.4,10972,1.06,75.5,4.3,646,16733,0.69,0.14,0.66,0.09,0.09,71.4,1.03,1.02
FANAT ROCKA,8262,27.1,7809,1.06,71.8,2.8,465,12150,0.68,0.11,0.64,0.08,0.09,69.0,1.08,1.02
disco doplan,22193,43.9,21099,1.05,76.1,3.6,1207,32000,0.69,0.13,0.66,0.09,0.10,70.2,1.04,1.02
Nico,6738,26.0,6191,1.09,80.6,4.9,399,10074,0.67,0.12,0.61,0.08,0.14,69.2,1.28,1.02
apEX,36240,51.9,35456,1.02,79.3,5.0,1931,50636,0.72,0.16,0.70,0.10,0.09,68.6,1.10,1.02
qqGOD,10674,40.9,10394,1.03,79.2,3.3,584,15180,0.70,0.16,0.68,0.09,0.09,70.2,1.13,1.02
Plopski,17767,41.6,16925,1.05,77.0,4.9,963,25541,0.70,0.14,0.66,0.10,0.11,71.7,1.06,1.08
v1c7oR,33791,46.3,32579,1.04,76.6,4.5,1859,48493,0.70,0.16,0.67,0.12,0.11,72.9,1.10,1.02
Swisher,9434,47.8,9192,1.03,78.6,5.4,511,13332,0.71,0.15,0.69,0.10,0.11,70.7,1.11,1.08
iDk,14859,47.1,14319,1.04,78.5,4.7,817,21324,0.70,0.15,0.67,0.10,0.09,70.3,1.09,1.09
mar,13341,48.4,12898,1.03,79.0,6.6,720,19056,0.70,0.15,0.68,0.10,0.10,70.6,1.08,1.08
spaze,10281,52.0,10192,1.01,75.9,2.6,538,14117,0.73,0.14,0.72,0.10,0.11,67.9,1.04,1.02
Tuurtle,11904,54.8,11538,1.03,77.6,2.7,645,16947,0.70,0.14,0.68,0.10,0.11,71.1,1.10,1.08
ap0c,15948,50.7,15521,1.03,77.6,5.0,883,22608,0.71,0.15,0.69,0.10,0.09,70.3,1.09,1.02
TENZKI,26645,52.9,25282,1.05,76.9,4.4,1474,38768,0.69,0.14,0.65,0.09,0.10,71.1,1.03,1.02
Goofy,20048,41.4,19710,1.02,78.8,4.8,1048,28378,0.71,0.15,0.69,0.10,0.11,70.2,1.12,1.08
Ace,7922,31.4,7352,1.08,68.5,2.3,456,11866,0.67,0.10,0.62,0.09,0.10,70.9,1.03,1.06
Markoś,12079,29.6,11280,1.07,71.8,3.2,666,17918,0.67,0.11,0.63,0.08,0.08,70.0,1.03,1.06
SHOCK,11039,55.5,10578,1.04,73.2,3.6,607,16287,0.68,0.11,0.65,0.09,0.09,70.4,0.99,1.05
dimasick,10747,49.1,10300,1.04,75.9,3.5,585,15322,0.70,0.12,0.67,0.08,0.09,69.5,1.03,1.06
yel,16210,29.8,15167,1.07,71.6,3.0,927,23986,0.68,0.11,0.63,0.09,0.09,70.5,1.06,1.02
ROBO,12328,45.6,11700,1.05,74.0,2.7,667,17746,0.69,0.11,0.66,0.09,0.10,70.1,1.04,1.02
steel,11498,45.7,11237,1.02,80.0,4.8,616,16284,0.71,0.15,0.69,0.09,0.08,69.6,1.16,1.02
fr0slev,11143,48.0,10673,1.04,78.1,4.7,611,15973,0.70,0.14,0.67,0.10,0.12,71.5,1.02,1.08
LETN1,19347,49.6,18183,1.06,72.8,3.6,1111,28880,0.67,0.13,0.63,0.10,0.10,71.8,1.03,1.02
fox,19336,32.0,18810,1.03,75.5,3.2,1051,27454,0.70,0.13,0.69,0.10,0.09,68.6,1.18,1.02
es3tag,22756,35.6,21935,1.04,77.0,5.1,1260,33026,0.69,0.15,0.66,0.10,0.10,71.1,1.08,1.02
n0thing,14720,52.6,14236,1.03,74.9,5.0,813,21021,0.70,0.15,0.68,0.10,0.10,69.5,1.01,1.02
SKYTTEN,7087,45.2,6759,1.05,79.8,4.0,382,10157,0.70,0.16,0.67,0.10,0.13,71.9,1.06,1.02
queztone,12799,44.5,12594,1.02,77.1,3.1,693,18110,0.71,0.14,0.70,0.10,0.10,69.9,1.06,1.02
roseau,7419,40.4,7300,1.02,78.1,3.0,412,10376,0.72,0.15,0.70,0.11,0.11,71.2,1.15,1.02
roca,12336,51.4,12141,1.02,76.4,3.0,660,17324,0.71,0.13,0.70,0.10,0.11,68.8,1.06,1.02
jedqr,14177,53.5,13571,1.04,77.2,5.9,757,20551,0.69,0.15,0.66,0.10,0.10,71.6,1.04,1.08
delboNi,8763,44.8,8450,1.04,74.8,3.5,493,12737,0.69,0.13,0.66,0.10,0.11,70.4,0.98,1.05
Lekr0,23606,51.4,22748,1.04,76.7,3.9,1275,34075,0.69,0.14,0.67,0.09,0.10,70.4,1.06,1.02
flickz,7976,48.3,7619,1.05,79.0,5.3,461,11606,0.69,0.16,0.66,0.08,0.08,71.4,1.05,1.09
HexT,7428,50.9,7228,1.03,77.2,4.8,398,10524,0.71,0.14,0.69,0.13,0.13,71.6,1.11,1.09
chrisJ,31011,41.5,29926,1.04,70.1,3.3,1727,45400,0.68,0.11,0.66,0.10,0.08,68.9,1.02,1.01
aproto,7153,57.8,7068,1.01,74.9,3.2,383,10053,0.71,0.11,0.70,0.10,0.13,69.8,1.03,1.05
1962,10252,53.7,10221,1.00,76.9,3.8,557,14443,0.71,0.14,0.71,0.11,0.10,69.6,1.14,1.07
spyleadeR,16729,42.3,16566,1.01,81.3,4.6,891,23002,0.73,0.18,0.72,0.10,0.08,69.2,1.17,1.01
Kylar,10650,58.9,10320,1.03,73.8,4.6,576,15534,0.69,0.12,0.66,0.10,0.12,70.5,1.02,1.05
bedonka,6857,53.7,6734,1.02,76.8,4.1,379,9815,0.70,0.14,0.69,0.09,0.09,70.5,1.07,1.06
PlesseN,23114,54.6,22867,1.01,80.3,5.6,1217,32573,0.71,0.14,0.70,0.10,0.09,68.4,1.16,1.01
Voltage,7099,28.5,6590,1.08,67.4,2.9,420,10848,0.65,0.09,0.61,0.09,0.10,71.4,0.98,1.05
Jyo,20897,40.7,19944,1.05,74.8,5.5,1147,30661,0.68,0.13,0.65,0.10,0.09,71.6,1.04,1.07
kreaz,11760,47.5,11212,1.05,75.9,4.5,653,17325,0.68,0.14,0.65,0.09,0.10,70.8,1.01,1.01
GruBy,29279,42.5,28532,1.03,78.3,3.3,1592,42293,0.69,0.15,0.67,0.10,0.11,70.8,1.05,1.01
hampus,24655,40.5,24386,1.01,80.0,4.2,1316,35028,0.70,0.15,0.70,0.08,0.08,67.8,1.15,1.01
stadodo,12532,40.5,11943,1.05,74.2,5.7,703,18475,0.68,0.13,0.65,0.10,0.09,70.6,1.13,1.09
HUGHMUNGUS,13103,50.7,12622,1.04,74.6,4.8,740,19182,0.68,0.13,0.66,0.10,0.11,70.6,1.03,1.06
byali,33518,51.7,32180,1.04,76.3,3.6,1830,48041,0.70,0.14,0.67,0.09,0.10,69.9,1.00,1.01
arT,17298,34.4,17099,1.01,78.3,3.7,937,24307,0.71,0.14,0.70,0.10,0.07,68.4,1.28,1.10
desi,7826,51.5,7727,1.01,75.6,2.9,430,10986,0.71,0.13,0.70,0.09,0.10,68.9,1.07,1.01
Stewie2K,27093,49.4,26573,1.02,77.8,5.1,1486,38805,0.70,0.14,0.68,0.10,0.08,70.4,1.16,1.01
jR,15731,33.5,15080,1.04,71.8,3.3,866,23111,0.68,0.11,0.65,0.08,0.07,68.2,1.08,1.01
Maikelele,18850,37.0,17905,1.05,73.3,4.8,1067,28134,0.67,0.14,0.64,0.09,0.09,70.3,1.03,1.01
mitch,14179,44.4,13547,1.05,76.8,4.0,807,20719,0.68,0.14,0.65,0.10,0.11,72.1,1.05,1.01
obj,7183,31.6,6757,1.06,70.0,2.8,412,10784,0.67,0.11,0.63,0.09,0.09,70.9,1.02,1.01
Viva,10394,45.9,9923,1.05,71.8,2.7,585,15525,0.67,0.12,0.64,0.10,0.11,71.5,1.04,1.06
tatazin,12715,46.4,11769,1.08,69.9,3.2,746,19564,0.65,0.11,0.60,0.08,0.09,73.2,0.90,1.05
b0RUP,24503,63.8,24089,1.02,73.1,4.4,1352,35776,0.68,0.11,0.67,0.10,0.10,69.8,1.06,1.01
Noobster,8741,34.5,8534,1.02,73.2,4.0,495,12785,0.68,0.12,0.67,0.09,0.09,67.8,1.11,1.01
Nodios,12942,53.9,12463,1.04,75.8,5.1,710,19030,0.68,0.14,0.65,0.10,0.11,71.3,1.00,1.01
grux,8740,67.2,8483,1.03,73.9,2.9,470,12547,0.70,0.10,0.68,0.10,0.11,69.9,1.00,1.04
EasTor,8811,28.4,8463,1.04,68.6,2.7,490,13018,0.68,0.09,0.65,0.10,0.10,69.4,1.02,1.01
shokz,10186,54.2,9923,1.03,75.4,3.6,564,14987,0.68,0.12,0.66,0.08,0.09,70.4,1.05,1.06
b0denmaster,7566,34.7,7312,1.03,73.3,4.9,415,11107,0.68,0.11,0.66,0.09,0.08,68.7,1.12,1.06
ayaya,8275,40.3,8160,1.01,78.2,2.7,458,11590,0.71,0.14,0.70,0.09,0.09,68.5,1.12,1.01
reatz,27479,51.6,26689,1.03,74.1,2.8,1483,39842,0.69,0.12,0.67,0.10,0.11,70.7,0.99,1.01
mirbit,15351,44.0,14425,1.06,73.5,5.7,866,23162,0.66,0.13,0.62,0.09,0.09,72.4,0.95,1.06
xCeeD,7407,44.1,7296,1.02,75.1,2.9,412,10694,0.69,0.13,0.68,0.12,0.11,71.0,1.09,1.07
Friis,16356,26.3,15609,1.05,69.4,2.4,938,24254,0.67,0.11,0.64,0.09,0.08,68.6,1.05,1.01
dazzLe,12753,42.0,12761,1.00,80.9,3.5,690,17971,0.71,0.16,0.71,0.10,0.09,69.5,1.15,1.08
zqkS,12484,28.9,11763,1.06,69.9,3.7,729,18817,0.66,0.12,0.63,0.10,0.09,70.7,1.05,1.01
siuhy,8511,53.5,8462,1.01,77.9,4.3,453,12146,0.70,0.13,0.70,0.10,0.08,68.7,1.12,1.07
kalinka,16112,52.8,15955,1.01,76.6,3.8,855,22891,0.70,0.12,0.70,0.09,0.09,68.8,1.10,1.01
Lack1,15411,45.8,15185,1.01,74.5,2.8,837,22307,0.69,0.13,0.68,0.09,0.09,69.7,1.08,1.05
Jinxx,7054,52.7,6771,1.04,72.3,3.8,400,10511,0.67,0.12,0.64,0.10,0.13,71.7,0.94,1.04
leo_drk,10114,51.4,10028,1.01,77.2,4.4,565,14501,0.70,0.13,0.69,0.11,0.10,70.0,1.13,1.07
to1nou,15196,30.5,14676,1.04,68.8,2.2,850,22377,0.68,0.10,0.66,0.09,0.10,68.9,1.01,1.01
Tsogoo,8315,52.9,8158,1.02,77.5,3.4,461,11774,0.71,0.14,0.69,0.10,0.11,69.6,1.04,1.01
DickStacy,10534,48.9,10188,1.03,73.5,4.5,624,15708,0.67,0.15,0.65,0.11,0.09,72.6,1.06,1.08
DESPE,8068,29.8,7748,1.04,68.7,2.5,468,12127,0.67,0.11,0.64,0.08,0.08,69.4,1.04,1.01
kioShiMa,26259,51.3,24967,1.05,74.0,5.2,1495,39250,0.67,0.15,0.64,0.08,0.09,70.6,0.97,1.01
speed4k,13678,39.2,13110,1.04,69.9,2.9,767,20579,0.66,0.11,0.64,0.09,0.09,70.5,1.01,1.05
FugLy,18921,43.4,18300,1.03,73.5,3.5,1083,28153,0.67,0.13,0.65,0.10,0.11,71.4,0.98,1.01
emagine,12837,45.9,12350,1.04,73.6,4.8,751,18931,0.68,0.14,0.65,0.10,0.09,70.7,1.00,1.01
Polt,9270,49.2,8853,1.05,77.7,3.5,510,13490,0.69,0.14,0.66,0.08,0.09,70.9,1.00,1.07
Nifty,15336,36.3,15026,1.02,70.2,3.2,865,22686,0.68,0.09,0.66,0.10,0.09,67.7,1.08,1.01
waterfaLLZ,15964,27.2,15644,1.02,72.7,3.2,875,23197,0.69,0.12,0.67,0.09,0.08,68.0,1.09,1.01
MINISE,34615,39.7,34010,1.02,73.9,4.9,1871,49905,0.69,0.12,0.68,0.08,0.07,67.1,1.14,1.00
Zero,18119,48.9,17336,1.05,71.9,2.5,1015,27013,0.67,0.12,0.64,0.09,0.11,71.5,0.96,1.00
innocent,31050,46.0,30464,1.02,77.1,5.1,1701,44784,0.69,0.15,0.68,0.09,0.09,69.9,1.03,1.00
pounh,7289,49.5,7198,1.01,75.9,2.1,401,10552,0.69,0.13,0.68,0.09,0.09,69.0,1.03,1.04
truth,8268,51.7,8156,1.01,75.9,3.2,443,11862,0.70,0.12,0.69,0.09,0.11,69.3,1.02,1.00
nitr0,23511,44.3,22894,1.03,71.9,4.9,1333,34755,0.68,0.14,0.66,0.11,0.10,71.4,1.01,1.00
Relyks,14589,48.8,14428,1.01,73.9,5.6,832,21258,0.69,0.12,0.68,0.10,0.10,69.6,1.01,1.00
fenvicious,13225,52.7,13084,1.01,75.7,2.4,729,19059,0.69,0.12,0.69,0.09,0.09,69.1,1.02,1.00
R0b3n,9420,49.8,9174,1.03,74.5,3.0,525,13824,0.68,0.12,0.66,0.09,0.10,70.3,0.98,1.04
glace,10395,52.2,10029,1.04,74.4,4.1,589,15307,0.68,0.14,0.66,0.09,0.10,70.7,1.00,1.00
Oderus,8738,34.3,8790,0.99,72.3,1.8,473,12356,0.71,0.09,0.71,0.10,0.10,67.0,1.15,1.04
1uke,11017,26.4,10794,1.02,71.6,2.2,623,16179,0.68,0.09,0.67,0.08,0.07,67.3,1.16,1.00
SZPERO,35995,33.3,35032,1.03,72.6,3.3,1996,52777,0.68,0.12,0.66,0.08,0.07,69.1,1.06,1.00
Edward,26683,51.1,25994,1.03,72.0,2.9,1473,38787,0.69,0.13,0.67,0.09,0.09,69.3,0.98,1.00
ableJ,6352,50.8,6053,1.05,72.1,3.9,372,9544,0.67,0.13,0.63,0.10,0.09,72.5,0.95,1.05
dzt,11845,46.4,11676,1.01,75.7,3.7,665,17229,0.69,0.13,0.68,0.10,0.09,69.6,1.11,1.00
hazed,13273,49.8,13354,0.99,78.3,4.1,736,19138,0.69,0.15,0.70,0.09,0.08,68.2,1.12,1.00
mopoz,19349,51.6,19333,1.00,75.9,4.8,1071,28421,0.68,0.13,0.68,0.09,0.07,69.1,1.10,1.00
almazer,23468,51.9,22888,1.03,74.3,4.1,1302,35000,0.67,0.13,0.65,0.10,0.09,71.1,1.00,1.06
kenzor,10785,54.8,10728,1.01,76.6,2.6,598,15627,0.69,0.13,0.69,0.10,0.11,70.1,1.04,1.05
xiaosaGe,15543,47.6,15517,1.00,80.0,5.2,840,22136,0.70,0.16,0.70,0.11,0.10,70.1,1.11,1.08
cbbk,7029,51.2,6866,1.02,75.6,4.3,404,10342,0.68,0.15,0.66,0.10,0.10,71.4,1.02,1.06
Djoko,7370,61.2,7380,1.00,75.0,6.0,408,10771,0.68,0.13,0.69,0.10,0.10,69.1,1.08,1.05
KILLDREAM,7851,44.2,7867,1.00,81.9,3.4,429,11159,0.70,0.16,0.70,0.10,0.11,70.9,1.15,1.00
Basso,10081,53.0,9816,1.03,70.1,3.5,582,15218,0.66,0.10,0.65,0.09,0.10,70.0,0.92,1.00
RoLEX,8834,51.2,8801,1.00,78.6,3.2,492,12610,0.70,0.14,0.70,0.09,0.09,69.2,1.08,1.06
zeff,8381,42.0,8327,1.01,77.8,4.9,482,12229,0.69,0.17,0.68,0.13,0.11,72.0,1.15,1.00
cromen,11785,52.8,11718,1.01,74.0,3.6,653,17335,0.68,0.13,0.68,0.11,0.11,70.3,1.06,1.00
adreN,12259,35.3,11879,1.03,76.5,5.7,697,18241,0.67,0.15,0.65,0.10,0.12,70.9,1.02,1.00
ImpressioN,11502,48.9,11418,1.01,77.0,4.1,647,16751,0.69,0.15,0.68,0.10,0.11,71.0,1.06,1.00
MODDII,20574,52.4,20166,1.02,74.6,3.6,1169,30527,0.67,0.13,0.66,0.08,0.08,70.1,1.02,1.00
void,7854,40.0,7727,1.02,74.1,2.8,437,11368,0.69,0.13,0.68,0.10,0.11,69.8,0.96,1.03
pyth,13677,56.0,13682,1.00,70.3,4.1,756,19801,0.69,0.13,0.69,0.10,0.10,67.4,0.96,1.00
mds,19543,53.4,19084,1.02,72.6,2.8,1087,29074,0.67,0.11,0.66,0.09,0.09,70.2,1.00,1.04
supra,9439,57.9,9376,1.01,72.9,5.4,530,14221,0.66,0.12,0.66,0.10,0.10,69.9,1.05,1.05
bubble,36652,41.4,35540,1.03,74.6,4.9,2081,54535,0.67,0.15,0.65,0.10,0.10,71.0,1.03,1.00
Jerry,27424,45.8,27013,1.02,76.7,4.2,1490,40075,0.68,0.14,0.67,0.10,0.09,71.0,1.05,1.07
reversive,10519,43.6,10323,1.02,75.7,4.5,594,15490,0.68,0.14,0.67,0.10,0.10,71.0,1.04,1.00
cam,9454,50.8,9285,1.02,75.3,5.4,544,13974,0.68,0.15,0.66,0.12,0.12,71.9,1.02,1.06
Noktse,12892,38.8,12632,1.02,74.2,4.6,733,19154,0.67,0.13,0.66,0.09,0.08,68.9,1.10,1.06
xseveN,22472,46.2,22132,1.02,78.7,6.0,1257,33229,0.68,0.16,0.67,0.09,0.09,70.9,1.06,1.00
peet,6788,34.0,6691,1.01,71.0,2.1,379,9993,0.68,0.12,0.67,0.10,0.10,69.0,1.09,1.00
DeathZz,7963,49.9,7826,1.02,75.1,3.3,446,11898,0.67,0.13,0.66,0.09,0.10,70.3,0.96,1.04
pecks,6620,45.9,6458,1.03,72.4,4.4,389,9930,0.67,0.14,0.65,0.09,0.08,71.1,0.96,1.00
STYKO,25989,57.5,25588,1.02,74.6,5.0,1474,38842,0.67,0.13,0.66,0.09,0.08,70.0,0.99,1.00
SIXER,18425,39.3,17582,1.05,69.8,2.7,1066,28079,0.66,0.11,0.63,0.09,0.10,70.6,0.95,1.00
vice,8668,49.4,8540,1.01,75.9,3.1,493,12707,0.68,0.14,0.67,0.12,0.11,71.4,1.02,1.00
Bååten,13293,56.5,13254,1.00,74.1,3.7,738,19661,0.68,0.12,0.67,0.10,0.11,69.4,1.01,1.00
xelos,7776,48.3,7750,1.00,76.8,5.7,426,11262,0.69,0.15,0.69,0.08,0.08,68.6,1.04,1.00
